,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,935471648213.36,49014494780.62,50050.87,18690418.0,-0.61,-2.04,-17.52
1,2,ETH,255676477656.12,31854226935.79,2211.63,115605667.0,-1.47,-6.43,-5.68
2,3,BNB,76166401717.25,4070234639.5,496.42,153432897.0,-1.11,-5.73,-4.61
3,4,USDT,49426761825.13,105265165684.69,0.9999,49431254439.0,-0.03,-0.03,-1.15
4,5,XRP,47615469344.13,8586287311.87,1.0487,45404028640.0,-1.12,-10.34,-32.78
5,6,ADA,35186428202.53,3566224272.21,1.1014,31948309441.0,-1.42,-4.7,-20.47
6,7,DOGE,34944176235.42,11057578567.93,0.2702,129321210695.0,0.25,8.73,-4.91
7,8,DOT,26981554376.44,2000992623.76,28.93,932558333.0,-2.54,-10.22,-31.98
8,9,UNI,15762155172.43,636577406.21,30.12,523384244.0,-1.89,-8.41,-14.19
9,10,LTC,15008330254.5,4567973779.07,224.84,66752415.0,-1.09,-6.85,-26.23
10,11,BCH,14397370611.29,3509395351.72,769.18,18717919.0,-1.7,-8.31,-23.57
11,12,LINK,13041755279.38,1642552575.04,31.13,419009556.0,-1.56,-11.22,-22.9
12,13,VET,11466090528.17,2566155757.86,0.1783,64315576989.0,-0.86,-11.43,-21.67
13,14,USDC,11244016314.17,1788061913.67,1.0001,11243286480.0,0.0,0.01,-1.03
14,15,SOL,10993246510.75,1101380795.06,40.74,269856920.0,0.84,10.17,62.3
15,16,XLM,9757406210.26,1406030263.78,0.4257,22918382894.0,0.15,-5.58,-28.95
16,17,FIL,9093566891.31,1340510562.68,133.54,68096459.0,-1.24,-3.86,-26.9
17,18,THETA,8651965753.78,429251376.53,8.652,1000000000.0,-1.03,-12.97,-35.47
18,19,WBTC,7823790519.99,169650613.99,50092.58,156187.0,-0.92,-2.04,-17.55
19,20,TRX,7359893979.66,3719956116.17,0.1027,71659657369.0,-1.51,-5.8,-34.76
20,21,XMR,6809114986.38,808797431.42,380.51,17894526.0,-2.41,7.22,3.54
21,22,BUSD,6975179465.79,4863225218.82,0.9998,6976260604.0,-0.02,-0.02,-1.05
22,23,LUNA,5855367299.2,688497333.14,15.57,376082476.0,-2.05,10.57,1.5
23,24,NEO,5593083485.28,1703095279.36,79.29,70538831.0,-2.05,-7.69,-15.97
24,25,KLAY,4881968637.96,90822467.78,1.9865,2457534451.0,-0.63,-3.66,-25.59
25,26,EOS,4839380587.03,2180396383.45,5.079,952818588.0,-1.21,-8.85,-35.56
26,27,MIOTA,4628280612.04,194456502.05,1.6651,2779530283.0,-1.06,-11.1,-29.36
27,28,CAKE,4514973304.5,980075907.21,28.25,159832984.0,-1.85,4.78,17.07
28,29,BTT,4416625462.69,2546182063.96,0.006692,659952625000.0,-1.52,-5.69,-27.84
29,30,BSV,4408563638.07,1198233994.2,235.57,18714627.0,-0.57,-6.02,-37.84
30,31,FTT,4291591534.08,79377967.69,45.49,94346958.0,-1.18,-4.18,-12.81
31,32,CRO,4194594489.18,94631362.25,0.166,25263013692.0,-1.07,-3.8,-30.35
32,33,MKR,3990323522.09,441585628.33,4009.41,995239.0,-1.09,-1.72,20.0
33,34,AAVE,3964946233.63,344313634.66,317.5,12488046.0,-2.05,-8.15,-26.19
34,35,ATOM,3876818009.21,472708341.41,18.39,210762931.0,-1.89,-10.17,-25.37
35,36,DAI,3597480352.57,463129005.36,0.9997,3598530150.0,0.01,-0.07,-1.05
36,37,ETC,3439364675.89,1855281854.98,29.57,116313299.0,-0.96,-9.18,-22.84
37,38,XTZ,3404655639.61,266216963.28,4.4359,767523025.0,-1.78,-7.8,-37.85
38,39,ALGO,3191380897.5,196535690.78,1.0882,2932805222.0,-1.21,-6.52,-35.91
39,40,HT,3170634085.77,381384361.71,17.34,182827444.0,-1.3,-6.26,-9.35
40,41,COMP,2882493614.01,696763234.19,567.91,5075624.0,-0.97,-8.77,4.86
41,42,AVAX,2801787039.39,177292845.08,21.78,128654959.0,-1.35,-7.32,-36.59
42,43,BTCB,2735463257.76,277602346.13,50101.87,54598.0,-0.63,-1.65,-17.04
43,44,RUNE,2669191949.48,123720633.1,11.35,235097776.0,-1.27,-13.0,-20.95
44,45,EGLD,2577304435.74,117757307.1,148.57,17347588.0,0.14,-7.98,-31.16
45,46,KSM,2566793169.17,154034352.8,303.04,8470098.0,-0.44,-9.77,-34.32
46,47,DASH,2488890707.85,964012142.51,246.57,10093979.0,-0.24,-6.13,-31.58
47,48,XEM,2422312763.81,211107382.03,0.2691,8999999999.0,-1.45,-6.76,-43.52
48,49,DCR,2384464354.51,27454252.35,185.46,12856992.0,-1.07,0.03,-20.89
49,50,ZEC,2334326355.19,737552032.78,200.77,11627119.0,-1.81,-8.83,-29.28
50,51,LEO,2239814870.18,1098031.09,2.2409,999498893.0,0.28,-1.93,-0.79
51,52,CHZ,2166777874.91,581240345.7,0.3879,5586355378.0,-1.6,-9.78,-38.09
52,53,HOT,2034954895.77,653193353.77,0.01203,169164199065.0,-4.7,-4.84,-36.45
53,54,HBAR,1976379998.17,299084285.29,0.2445,8084619105.0,-2.59,-9.04,-29.56
54,55,STX,1977542355.71,24716027.43,1.7709,1116657785.0,-0.88,-9.3,-22.53
55,56,NEXO,1860606010.15,11221373.95,3.3225,560000011.0,-1.26,-3.12,-9.26
56,57,MATIC,1833719616.84,216229167.39,0.3534,5188388130.0,-1.37,-7.43,-13.0
57,58,UST,1860487646.43,40497443.18,0.998,1864192339.0,-0.16,-0.26,-1.1
58,59,MANA,1741593965.18,154562500.41,1.1036,1578089913.0,-1.86,-10.59,-27.71
59,60,ENJ,1683540022.08,271223002.9,2.0179,834313757.0,-0.92,-9.91,-32.73
60,61,ZIL,1605628610.07,132816811.22,0.1432,11208681792.0,-1.57,-9.66,-35.64
61,62,SNX,1575320192.44,110948640.84,13.72,114841533.0,-2.07,-7.91,-32.93
62,63,DGB,1562668596.8,149201597.17,0.1097,14248214586.0,-3.67,-12.26,-26.37
63,64,GRT,1562625689.98,124541391.96,1.2544,1245666867.0,-1.41,-10.24,-35.71
64,65,BAT,1540660447.96,491551821.53,1.032,1492816441.0,-6.27,-12.9,-30.68
65,66,NEAR,1524057603.45,59538105.29,4.2538,358280790.0,-0.8,-8.45,-28.42
66,67,SC,1485338228.35,275400945.06,0.03122,47575102992.0,-1.46,-9.66,-41.81
67,68,CEL,1487139101.36,12195755.39,6.2259,238863520.0,-2.07,-8.66,-5.02
68,69,YFI,1435195614.13,315804237.15,39175.6,36635.0,-2.26,-9.51,-20.5
69,70,BTG,1383279736.72,315139280.19,78.98,17513924.0,-1.9,-5.26,-27.91
70,71,WAVES,1377752996.39,117703415.74,13.13,104930464.0,-1.1,-10.08,-16.66
71,72,SUSHI,1360121302.48,288274180.66,10.69,127244443.0,-1.48,-9.54,-33.28
72,73,TFUEL,1261189429.32,38914666.73,0.2393,5270590400.0,-1.6,-9.45,-33.6
73,74,CELO,1256291137.91,187262369.62,6.1355,204757368.0,-1.06,27.45,34.85
74,75,UMA,1242838922.16,47976531.15,20.69,60078660.0,-2.25,-11.43,-28.4
75,76,QTUM,1146276976.71,1022547707.77,11.66,98311821.0,-2.24,-10.83,-33.3
76,77,RVN,1128431588.65,123844447.92,0.1308,8628085000.0,-1.91,-9.37,-39.95
77,78,ZEN,1125190792.18,114342218.92,102.2,11009988.0,-1.63,-8.85,-13.16
78,79,ONT,1090025501.15,520464744.02,1.3426,811891324.0,-2.15,-11.51,-41.6
79,80,REV,1101334768.5,6013476.2,0.01295,85061485690.0,-0.13,0.19,-1.98
80,81,BNT,1046382889.1,81926691.51,5.8607,178540879.0,-1.26,-7.0,-22.28
81,82,ZRX,1033591637.9,116356664.47,1.3225,781547659.0,-0.95,-10.14,-35.74
82,83,HNT,1030883719.56,16643552.04,12.89,79977685.0,-0.96,-9.05,-16.76
83,84,CHSB,1023286470.04,4266498.52,1.0233,1000000000.0,-1.89,-5.73,-2.3
84,85,OKB,997256602.24,307990864.99,16.62,60000000.0,-0.56,0.1,-10.62
85,86,ICX,991056622.49,84945142.59,1.6552,598744838.0,-1.0,-9.86,-39.08
86,87,NANO,977615604.29,102812207.74,7.3368,133248297.0,-0.2,-10.06,-43.61
87,88,ONE,932563672.37,93507089.62,0.09911,9409622509.0,0.33,-6.68,-31.7
88,89,RSR,907784784.68,130168727.04,0.06898,13159999000.0,-1.66,-10.56,-33.15
89,90,FLOW,912796061.88,54457850.65,26.87,33967817.0,-0.63,-3.06,-24.72
90,91,PAX,908666089.7,54764677.82,0.9987,909804609.0,0.01,-0.06,-1.14
91,92,ANKR,869107047.92,91986922.61,0.1242,6996232711.0,-2.41,-9.26,-34.03
92,93,KCS,865044011.88,32395983.08,10.8,80118638.0,-1.07,-4.51,-15.52
93,94,OMG,842504174.13,349323478.44,6.0074,140245398.0,-1.38,-8.55,-36.99
94,95,AR,816324469.67,23339116.5,24.44,33394701.0,-2.51,24.83,-4.94
95,96,IOST,753106069.72,509951722.14,0.04577,16454275775.0,-2.17,-8.66,-42.05
96,97,REN,751556257.16,74728606.68,0.7537,997163051.0,-1.55,-7.95,-31.82
97,98,DENT,709794749.58,344457446.33,0.007548,94033927361.0,-1.71,2.04,-37.8
98,99,WRX,717219348.43,82433111.69,2.4415,293763596.0,-2.61,-8.2,-30.93
99,100,FTM,706101538.76,47956618.66,0.2774,2545006273.0,-2.22,-11.92,-44.48
100,101,HUSD,700194732.87,759420049.42,0.9989,700952574.0,-0.04,-0.04,-1.13
101,102,CFX,700811511.52,9241700.48,0.8492,825247606.0,-0.45,-2.27,-20.04
102,103,BTMX,697427947.4,3541746.81,0.9308,749317256.0,-0.02,-2.13,-32.82
103,104,XVG,689477266.6,57601777.32,0.04192,16447436149.0,-2.29,-7.3,-33.9
104,105,VGX,667653677.07,9380148.39,3.0035,222295208.0,-1.05,-17.41,-34.73
105,106,CRV,647663449.66,136362539.03,2.3685,273444536.0,-1.02,-10.28,-38.23
106,107,RENBTC,631659832.84,34850709.71,50065.15,12617.0,-1.06,-2.02,-17.57
107,108,1INCH,617911330.27,98756612.24,3.944,156671623.0,-1.73,-7.82,-39.54
108,109,LPT,592943246.26,36847504.94,28.02,21164655.0,0.09,2.49,-15.95
109,110,XVS,584235296.02,82325039.67,60.86,9600267.0,-1.42,-9.83,-26.63
110,111,LRC,533339880.02,37587702.96,0.4362,1222767707.0,-1.55,-8.89,-41.76
111,112,VTHO,532202314.3,66536201.27,0.01535,34661778179.0,-0.7,-11.48,-33.74
