,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
0,1,BTC,920337950861.22,32646349930.89,48960.79,18797450.0,0.18,2.63,9.28
1,2,ETH,378139623272.57,18902728234.8,3224.92,117255680.0,0.31,1.65,6.78
2,3,ADA,88011861282.32,6920886096.88,2.7381,32143026588.0,0.81,0.63,29.86
3,4,BNB,84536988740.4,3289398272.83,502.79,168137036.0,0.69,6.61,26.25
4,5,USDT,65484939225.64,78253794426.65,1.0004,65461434001.0,0.01,0.01,-0.01
5,6,XRP,54538542684.19,4735020572.15,1.1725,46513604835.0,1.32,3.09,2.31
6,7,DOGE,38285607715.27,2518743226.93,0.2922,131013874083.0,0.62,1.21,-3.79
7,8,USDC,27053658215.06,2658484333.12,1.0,27052649216.0,-0.01,-0.02,-0.02
8,9,DOT,25613238123.99,1846569890.47,25.94,987579315.0,0.83,3.4,8.3
9,10,SOL,20923790993.99,1551240766.49,71.95,290803822.0,1.16,1.81,-0.82
10,11,UNI,16527806567.94,346837563.53,27.02,611612289.0,0.67,1.42,1.66
11,12,BCH,12225123037.31,3075170891.15,649.31,18827738.0,0.51,1.87,2.35
12,13,BUSD,12131293459.08,6540774338.13,1.0001,12130312704.0,0.01,-0.01,-0.01
13,14,LUNA,12121896955.48,1096045145.8,29.99,404203448.0,-0.78,1.07,-2.76
14,15,LTC,11855479601.73,1766315141.31,177.6,66752615.0,0.27,2.32,6.1
15,16,LINK,11868168034.68,1415094739.98,26.52,447509554.0,1.04,2.98,3.95
16,17,MATIC,9884462556.67,889188383.2,1.526,6477576924.0,0.64,3.47,14.0
17,18,ICP,9735674738.51,555546253.78,62.05,156906391.0,0.41,4.64,5.76
18,19,WBTC,9672156668.57,256634838.58,48967.06,197524.0,0.2,2.45,9.28
19,20,XLM,8461370202.77,651572702.14,0.3585,23601896106.0,0.86,2.21,4.56
20,21,ETC,8222342898.39,2840666334.16,63.65,129188779.0,0.17,1.17,-0.64
21,22,VET,8186483723.55,1007988700.28,0.1273,64315576989.0,0.7,4.86,6.24
22,23,AVAX,8025551229.89,1541625993.66,46.12,174032959.0,-1.91,-16.68,54.28
23,24,FIL,7592000859.88,663545425.47,76.39,99380115.0,-0.4,2.65,13.05
24,25,THETA,7200016647.58,379953953.4,7.2,1000000000.0,0.24,1.94,4.9
25,26,TRX,6265148910.65,1155743062.52,0.08743,71659657369.0,0.52,3.32,3.15
26,27,DAI,6065656647.13,401292076.49,1.0012,6058399787.0,0.03,0.06,0.09
27,28,XMR,5637258138.29,305885601.34,313.52,17980328.0,0.65,1.94,23.68
28,29,CAKE,5545344525.44,693697037.91,25.97,213565559.0,0.91,9.74,21.34
29,30,AAVE,5042778794.28,316073871.63,383.62,13145370.0,0.84,1.43,0.69
30,31,EOS,4977933633.68,1506847409.24,5.2048,956404599.0,0.47,2.85,4.2
31,32,FTT,4674816891.68,215499799.03,49.55,94346958.0,0.41,4.4,5.9
32,33,GRT,4479491965.42,239244633.32,0.9499,4715735200.0,0.33,3.33,10.9
33,34,ATOM,4400733817.93,487821904.75,19.97,220327177.0,0.25,1.78,10.98
34,35,AXS,4417089627.87,1015019314.32,72.52,60907500.0,-0.15,3.79,4.94
35,36,KLAY,4362541000.1,116914330.56,1.7459,2498667255.0,0.84,3.71,-0.62
36,37,XTZ,4319534854.4,1291090199.24,5.041,856885130.0,0.53,27.4,50.27
37,38,NEO,3974245078.26,629635603.56,56.34,70538831.0,0.36,1.43,8.85
38,39,CRO,3982824229.96,40851418.53,0.1577,25263013692.0,0.75,2.93,10.55
39,40,BTCB,3829775777.84,54085183.77,49020.3,78126.0,0.14,2.54,9.17
40,41,MKR,3663207626.0,133764312.15,3695.25,991328.0,0.68,1.71,4.84
41,42,ALGO,3660731923.77,206911229.3,1.0631,3443515267.0,0.99,2.45,14.95
42,43,BSV,3098734115.71,351083825.69,164.61,18824614.0,0.67,2.63,5.47
43,44,MIOTA,3002817105.44,72291313.08,1.0803,2779530283.0,0.86,1.99,7.73
44,45,SHIB,2961901394.83,338503380.62,7.5e-06,394796000000000.0,0.66,0.11,-6.51
45,46,BTT,2816171018.36,448370956.07,0.004267,659952625000.0,0.58,2.2,1.03
46,47,LEO,2812993184.88,3074230.78,2.9488,953954130.0,0.23,2.43,-0.6
47,48,DASH,2718675074.2,438950532.64,264.03,10296822.0,1.48,6.28,25.6
48,49,EGLD,2683263688.52,67796370.5,138.69,19347158.0,0.69,0.98,-5.8
49,50,WAVES,2572883664.54,129332144.98,24.27,105996046.0,0.06,2.42,3.82
50,51,KSM,2565999416.31,190377704.06,302.95,8470098.0,1.52,2.33,7.11
51,52,AMP,2575610927.21,49990278.46,0.06099,42227702186.0,-0.33,-0.81,3.58
52,53,NEAR,2467756088.85,223034186.84,5.5938,441159115.0,5.33,10.58,25.74
53,54,HBAR,2439107776.08,278776166.93,0.2576,9467248411.0,1.09,1.73,14.98
54,55,COMP,2388428914.04,197993135.4,435.11,5489286.0,0.98,2.8,-0.41
55,56,DCR,2359513560.68,19875869.03,178.08,13250013.0,-0.53,7.76,11.58
56,57,QNT,2346706520.07,79915766.02,194.38,12072738.0,0.07,-5.53,5.77
57,58,RUNE,2331226496.24,153369151.45,10.43,223556160.0,1.28,0.57,28.72
58,59,HT,2338901885.12,227081085.41,14.08,166099511.0,-0.69,1.96,0.49
59,60,UST,2320824743.82,72866047.06,1.0009,2318802003.0,-0.09,0.02,-0.21
60,61,CHZ,2281640541.22,484193841.5,0.3871,5894516282.0,1.23,5.26,16.61
